,location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
10,771,111,40,32,"1,31,32,40",3,0,1,11.000000,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,2,admin0,TKM,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,TKM,TKM,0,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Turkmenistan,Turkmenistan
11,771,111,41,32,"1,31,32,41",3,0,1,12.000000,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,2,admin0,UZB,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,UZB,UZB,0,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Uzbekistan,Republic of Uzbekistan
12,771,111,42,31,"1,31,42",2,0,0,13.000000,Central Europe,Central Europe,C Europe,Central Europe,6,region,,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,R8,R8,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Central Europe,Central Europe
13,771,111,43,42,"1,31,42,43",3,0,1,14.000000,Albania,Albania,Albania,Albania,2,admin0,ALB,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,ALB,ALB,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Albania,Republic of Albania
14,771,111,44,42,"1,31,42,44",3,0,1,15.000000,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,2,admin0,BIH,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,BIH,BIH,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Bosnia and Herzegovina,Bosnia and Herzegovina
15,771,111,45,42,"1,31,42,45",3,0,1,16.000000,Bulgaria,Bulgaria,Bulgaria,Bulgaria,2,admin0,BGR,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,BGR,BGR,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Bulgaria,Republic of Bulgaria
16,771,111,46,42,"1,31,42,46",3,0,1,17.000000,Croatia,Croatia,Croatia,Croatia,2,admin0,HRV,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,HRV,HRV,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Croatia,Republic of Croatia
17,771,111,47,42,"1,31,42,47",3,0,1,18.000000,Czechia,Czechia,Czechia,Czechia,2,admin0,CZE,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,CZE,CZE,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Czech Republic,Czech Republic
18,771,111,48,42,"1,31,42,48",3,0,1,19.000000,Hungary,Hungary,Hungary,Hungary,2,admin0,HUN,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,HUN,HUN,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Hungary,Hungary
19,771,111,50,42,"1,31,42,50",3,0,1,20.000000,Montenegro,Montenegro,Montenegro,Montenegro,2,admin0,MNE,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,MNE,MNE,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Montenegro,Montenegro
