location_name,location_id,data_date,case_inflection_date,lag
Armenia,33,6/6/22,1/4/22,21
Azerbaijan,34,6/6/22,1/8/22,21
Georgia,35,6/6/22,1/1/22,21
Kazakhstan,36,6/6/22,1/4/22,21
Kyrgyzstan,37,6/6/22,1/2/22,21
Mongolia,38,6/6/22,12/31/21,28
Tajikistan,39,6/6/22,,28
Turkmenistan,40,6/6/22,,28
Uzbekistan,41,6/6/22,1/3/22,28
Albania,43,6/6/22,1/1/22,28
Bosnia and Herzegovina,44,6/6/22,12/24/21,28
Bulgaria,45,6/6/22,12/24/21,21
Croatia,46,6/6/22,12/23/21,21
Czechia,47,6/6/22,12/31/21,21
Hungary,48,6/6/22,1/1/22,28
Montenegro,50,6/6/22,12/20/21,21
North Macedonia,49,6/6/22,12/29/21,21
Poland,51,6/6/22,1/8/22,28
Romania,52,6/6/22,12/28/21,28
Serbia,53,6/6/22,12/25/21,28
Slovakia,54,6/6/22,1/23/22,28
Slovenia,55,6/6/22,12/24/21,28
Belarus,57,6/6/22,1/11/22,28
Estonia,58,6/6/22,12/22/21,28
Latvia,59,6/6/22,12/28/21,28
Lithuania,60,6/6/22,12/29/21,28
Republic of Moldova,61,6/6/22,12/31/21,28
Russian Federation,62,6/6/22,1/10/22,28
Ukraine,63,6/6/22,1/8/22,28
Australia,71,6/6/22,12/10/21,28
New Zealand ,72,6/6/22,1/29/22,28
Brunei Darussalam ,66,6/6/22,1/29/22,28
Japan,67,6/6/22,1/3/22,28
Republic of Korea,68,6/6/22,1/10/22,28
Singapore,69,6/6/22,12/30/21,28
Alberta,43858,6/6/22,12/10/21,42
British Columbia,43859,6/6/22,12/10/21,42
Manitoba,43860,6/6/22,12/15/21,42
New Brunswick,43861,6/6/22,12/18/21,42
Newfoundland and Labrador,43862,6/6/22,12/10/21,42
Northwest Territories ,43863,6/6/22,12/30/21,42
Nova Scotia,43864,6/6/22,12/10/21,42
Nunavut,43865,6/6/22,12/20/21,42
Ontario,43866,6/6/22,12/10/21,42
Prince Edward Island,43867,6/6/22,12/14/21,42
Quebec,43868,6/6/22,12/14/21,42
Saskatchewan,43869,6/6/22,12/20/21,42
Yukon,43870,6/6/22,12/28/21,42
Greenland,349,6/6/22,12/26/21,28
Alabama,523,6/6/22,12/18/21,28
Alaska,524,6/6/22,12/28/21,28
Arizona,525,6/6/22,12/25/21,28
Arkansas,526,6/6/22,12/24/21,28
California,527,6/6/22,12/18/21,28
Colorado,528,6/6/22,12/17/21,28
Connecticut,529,6/6/22,12/17/21,28
Delaware,530,6/6/22,12/23/21,28
District of Columbia,531,6/6/22,12/8/21,28
Florida,532,6/6/22,12/18/21,28
Georgia,533,6/6/22,12/15/21,28
Hawaii,534,6/6/22,12/13/21,28
Idaho,535,6/6/22,12/24/21,28
Illinois,536,6/6/22,12/20/21,28
Indiana,537,6/6/22,12/25/21,28
Iowa,538,6/6/22,12/23/21,28
Kansas,539,6/6/22,12/22/21,28
Kentucky,540,6/6/22,12/23/21,28
Louisiana,541,6/6/22,12/15/21,28
Maine,542,6/6/22,12/31/21,28
Maryland,543,6/6/22,12/17/21,28
Massachusetts,544,6/6/22,12/18/21,28
Michigan,545,6/6/22,12/23/21,28
Minnesota,546,6/6/22,12/28/21,28
Mississippi,547,6/6/22,12/24/21,28
Missouri,548,6/6/22,12/18/21,28
Montana,549,6/6/22,12/24/21,28
Nebraska,550,6/6/22,12/23/21,21
Nevada,551,6/6/22,12/24/21,28
New Hampshire,552,6/6/22,12/26/21,28
New Jersey,553,6/6/22,12/15/21,28
New Mexico,554,6/6/22,12/24/21,28
New York,555,6/6/22,12/15/21,28
North Carolina,556,6/6/22,12/25/21,28
North Dakota,557,6/6/22,12/31/21,28
Ohio,558,6/6/22,12/22/21,28
Oklahoma,559,6/6/22,12/24/21,21
Oregon,560,6/6/22,12/22/21,28
Pennsylvania,561,6/6/22,12/22/21,28
Rhode Island ,562,6/6/22,12/24/21,21
South Carolina,563,6/6/22,12/18/21,28
South Dakota ,564,6/6/22,12/30/21,21
Tennessee,565,6/6/22,12/20/21,28
Texas,566,6/6/22,12/20/21,28
Utah,567,6/6/22,12/24/21,28
Vermont,568,6/6/22,12/27/21,28
Virginia,569,6/6/22,12/22/21,28
Washington,570,6/6/22,12/15/21,28
King and Snohomish Counties,60886,6/6/22,12/14/21,28
Spokane County,3539,6/6/22,12/22/21,28
"Washington except for King, Snohomish, and Spokane Counties ",60887,6/6/22,12/18/21,28
West Virginia,571,6/6/22,12/24/21,28
Wisconsin,572,6/6/22,12/24/21,28
Wyoming,573,6/6/22,12/23/21,28
Argentina,97,6/6/22,12/22/21,35
Chile,98,6/6/22,12/28/21,28
Uruguay,99,6/6/22,12/24/21,35
Andorra,74,6/6/22,12/28/21,35
Austria,75,6/6/22,12/25/21,28
Belgium,76,6/6/22,12/24/21,28
Cyprus,77,6/6/22,12/22/21,28
Denmark,78,6/6/22,12/24/21,35
Finland,79,6/6/22,12/24/21,28
France,80,6/6/22,12/22/21,28
Baden-Württemberg,60377,6/6/22,12/27/21,28
Bavaria,60378,6/6/22,12/28/21,28
Berlin,60379,6/6/22,12/30/21,28
Brandenburg,60380,6/6/22,12/31/21,28
Bremen,60381,6/6/22,12/26/21,28
Hamburg,60382,6/6/22,12/27/21,28
Hesse,60383,6/6/22,12/28/21,28
Lower Saxony,60384,6/6/22,12/27/21,28
Mecklenburg-Vorpommern ,60385,6/6/22,12/27/21,28
North Rhine-Westphalia,60386,6/6/22,12/28/21,28
Rhineland-Palatinate,60387,6/6/22,12/27/21,28
Saarland,60388,6/6/22,12/27/21,28
Saxony,60390,6/6/22,1/15/22,28
Saxony-Anhalt ,60389,6/6/22,1/15/22,28
Schleswig-Holstein,60391,6/6/22,12/27/21,28
Thuringia,60392,6/6/22,1/15/22,28
Greece,82,6/6/22,12/22/21,42
Iceland,83,6/6/22,12/21/21,28
Ireland,84,6/6/22,12/18/21,28
Israel,85,6/6/22,12/8/21,56
Abruzzo,35507,6/6/22,12/25/21,28
Basilicata,35511,6/6/22,12/24/21,28
Calabria,35512,6/6/22,12/24/21,28
Campania,35509,6/6/22,12/24/21,28
Emilia-Romagna,35502,6/6/22,12/25/21,28
Friuli-Venezia Giulia,35501,6/6/22,12/25/21,28
Lazio,35506,6/6/22,12/22/21,28
Liguria,35496,6/6/22,1/5/22,28
Lombardia,35497,6/6/22,12/20/21,28
Marche,35505,6/6/22,12/24/21,28
Molise,35508,6/6/22,12/24/21,28
Piemonte,35494,6/6/22,12/20/21,28
Provincia autonoma di Bolzano ,35498,6/6/22,12/24/21,28
Provincia autonoma di Trento,35499,6/6/22,12/24/21,28
Puglia,35510,6/6/22,12/25/21,28
Sardegna,35514,6/6/22,12/24/21,28
Sicilia,35513,6/6/22,12/24/21,28
Toscana,35503,6/6/22,12/24/21,28
Umbria,35504,6/6/22,12/22/21,28
Valle d'Aosta,35495,6/6/22,12/24/21,28
Veneto,35500,6/6/22,12/24/21,28
Luxembourg,87,6/6/22,12/24/21,28
Malta,88,6/6/22,12/15/21,42
Monaco,367,6/6/22,12/22/21,28
Netherlands,89,6/6/22,12/22/21,28
Norway,90,6/6/22,12/25/21,21
Portugal,91,6/6/22,12/23/21,28
San Marino,396,6/6/22,12/24/21,28
Andalucia,60357,6/6/22,12/8/21,28
Aragon,60358,6/6/22,12/18/21,28
Asturias,60365,6/6/22,12/18/21,28
Balearic Islands,60363,6/6/22,12/22/21,28
Basque Country,60374,6/6/22,12/15/21,28
Canary Islands,60364,6/6/22,12/10/21,28
Cantabria,60359,6/6/22,12/17/21,28
Castile and León ,60367,6/6/22,12/18/21,28
Castilla-La Mancha ,60360,6/6/22,12/18/21,28
Catalonia,60368,6/6/22,12/15/21,28
Ceuta,60369,6/6/22,12/22/21,28
Community of Madrid,60361,6/6/22,12/10/21,28
Extremadura,60362,6/6/22,12/18/21,28
Galicia,60372,6/6/22,12/18/21,28
La Rioja,60376,6/6/22,12/10/21,28
Melilla,60373,6/6/22,12/22/21,28
Murcia,60366,6/6/22,12/18/21,28
Navarre,60370,6/6/22,12/16/21,28
Valencian Community,60371,6/6/22,12/15/21,28
Sweden,93,6/6/22,12/22/21,28
Switzerland,94,6/6/22,12/22/21,28
England,4749,6/6/22,12/10/21,42
Northern Ireland,433,6/6/22,12/15/21,42
Scotland,434,6/6/22,12/15/21,42
Wales,4636,6/6/22,12/15/21,42
