location_id,alpha,beta,gamma,delta,omicron,ba5
561,2/1/21,,,6/1/21,11/15/21,4/15/22
562,,,,6/15/21,11/20/21,4/15/22
563,,,,6/15/21,11/20/21,5/15/22
564,,,,6/15/21,12/9/21,5/15/22
565,,,,6/15/21,11/15/21,5/1/22
566,,,,6/15/21,11/15/21,5/15/22
567,,,,6/1/21,11/26/21,5/1/22
568,,,,7/1/21,11/29/21,4/15/22
569,,,,6/15/21,11/24/21,5/1/22
60886,2/1/21,,,6/1/21,11/16/21,4/15/22
3539,2/1/21,,,6/1/21,11/24/21,4/15/22
60887,2/1/21,,,6/1/21,11/20/21,4/15/22
571,,,,7/1/21,11/26/21,4/15/22
572,,,,6/15/21,11/15/21,4/15/22
573,,,,6/15/21,11/25/21,5/1/22
97,,,1/1/21,,11/17/21,5/1/22
98,,,12/15/20,,11/30/21,5/1/22
99,,,12/15/20,,11/19/21,5/1/22
74,11/15/20,,,,11/1/21,5/3/22
75,1/1/21,,,8/15/21,12/1/21,5/10/22
76,1/1/21,,,8/15/21,11/26/21,5/10/22
77,1/15/21,,,5/1/21,11/15/21,5/10/22
78,10/15/20,,,,11/19/21,5/3/22
79,,,,,11/26/21,5/10/22
80,11/15/20,,,6/1/21,11/10/21,5/10/22
60377,1/15/21,,,6/15/21,11/29/21,5/10/22
60378,1/15/21,,,6/15/21,11/30/21,5/10/22
60379,1/15/21,,,6/15/21,12/2/21,5/10/22
60380,1/15/21,,,6/15/21,12/3/21,5/10/22
60381,1/15/21,,,6/15/21,11/28/21,5/10/22
60382,1/15/21,,,6/15/21,11/29/21,5/10/22
60383,1/15/21,,,6/15/21,11/30/21,5/10/22
60384,1/15/21,,,6/15/21,11/29/21,5/10/22
60385,1/15/21,,,6/15/21,11/29/21,5/10/22
60386,1/15/21,,,6/15/21,11/30/21,5/10/22
60387,1/15/21,,,6/15/21,11/29/21,5/10/22
60388,1/15/21,,,6/15/21,11/29/21,5/10/22
60390,1/15/21,,,6/15/21,12/18/21,5/10/22
60389,1/15/21,,,6/15/21,12/18/21,5/10/22
60391,1/15/21,,,6/15/21,11/29/21,5/10/22
